user_pseudo_id,session_id,event_date,session_start,viewed_item,added_to_cart,began_checkout,added_payment,converted,device_category,os,country,region,traffic_source,traffic_medium,session_revenue,event_count,max_funnel_stage,funnel_stage_label
7645479.1054478300,8983532708,2020-11-14,1,0,0,0,0,0,desktop,Web,United States,Idaho,(direct),(none),0.0,1,1,session_only
4522856.7550224780,2856055636,2020-11-22,1,0,0,0,0,0,desktop,Web,United States,California,(direct),(none),0.0,1,1,session_only
56554105.5357257443,7810261019,2021-01-29,1,0,0,0,0,0,desktop,Macintosh,United States,California,google,cpc,0.0,1,1,session_only
91904900.2748562602,9193254547,2021-01-23,1,0,0,0,0,0,desktop,Macintosh,China,Guangdong Province,<Other>,<Other>,0.0,1,1,session_only
2767257.5526480639,7888198954,2021-01-22,1,0,0,0,0,0,desktop,Windows,United States,New York,(direct),(none),0.0,1,1,session_only
56631052.6992391941,9481112136,2021-01-02,1,0,0,0,0,0,desktop,Windows,United States,California,<Other>,referral,0.0,1,1,session_only
7186879.8446139395,9534034009,2020-11-02,1,1,0,1,1,1,desktop,Web,India,Delhi,google,organic,65.68,16,6,purchase
16781365.5167027314,4085441289,2021-01-21,1,1,1,1,1,1,desktop,Windows,France,Nouvelle-Aquitaine,google,organic,86.88,49,6,purchase
26367969.8356305669,5565957172,2021-01-05,1,0,0,0,0,0,mobile,iOS,United States,New Hampshire,(direct),(none),0.0,1,1,session_only
9177515.4527676278,1460591471,2021-01-23,1,0,0,0,0,0,desktop,Web,India,Rajasthan,(direct),(none),0.0,1,1,session_only
3368811.1726449705,7002161505,2021-01-21,1,0,0,0,0,0,desktop,Web,(not set),(not set),<Other>,<Other>,0.0,1,1,session_only
48944371.5956629677,2102963335,2020-12-20,1,0,0,0,0,0,mobile,Web,United States,Virginia,google,organic,0.0,1,1,session_only
3018471.2187154322,5960062788,2020-12-29,1,1,1,1,1,1,desktop,Web,India,Rajasthan,shop.googlemerchandisestore.com,referral,0.0,49,6,purchase
84281455.0459300460,3787514523,2020-12-22,1,0,0,0,0,0,mobile,Web,Germany,Berlin,google,organic,0.0,1,1,session_only
8652669.2146779515,6331085925,2021-01-21,1,0,0,0,0,0,desktop,Windows,Spain,Madrid,<Other>,(data deleted),0.0,1,1,session_only
56925108.3925068213,6256472254,2021-01-05,1,1,0,0,0,0,desktop,Web,Spain,Madrid,<Other>,referral,0.0,2,2,view_item
4104297.1829009684,5977382671,2021-01-07,1,0,0,0,0,0,mobile,Android,Taiwan,Taipei City,google,cpc,0.0,1,1,session_only
8719132.4501644786,9088481076,2021-01-06,1,0,0,0,0,0,desktop,Web,Romania,Bucharest,<Other>,referral,0.0,1,1,session_only
1852882.2812416843,3436216964,2021-01-23,1,1,1,1,1,1,mobile,iOS,United States,Texas,(direct),(none),99.2,30,6,purchase
7211118.9409855231,7107982078,2021-01-11,1,1,1,0,0,0,desktop,Macintosh,India,Delhi,google,organic,0.0,9,3,add_to_cart
74754756.0674183963,1944904731,2020-12-20,1,0,0,0,0,0,mobile,iOS,India,Uttar Pradesh,(direct),(none),0.0,1,1,session_only
5939250.1961581656,5278063680,2020-11-06,1,0,0,0,0,0,desktop,Web,Mexico,(not set),google,organic,0.0,1,1,session_only
5216927.8839667836,893449874,2021-01-03,1,0,0,0,0,0,desktop,Web,United States,West Virginia,google,organic,0.0,1,1,session_only
84438904.2078020909,7712568419,2021-01-07,1,0,0,0,0,0,tablet,Web,China,(not set),(direct),(none),0.0,1,1,session_only
8345034.4317979946,8083080826,2020-11-16,1,0,0,0,0,0,desktop,Web,Taiwan,New Taipei City,google,organic,0.0,1,1,session_only
42729368.3942046129,1372943683,2021-01-03,1,0,0,0,0,0,mobile,Web,France,Ile-de-France,google,organic,0.0,1,1,session_only
6665644.4894147625,910897203,2021-01-06,1,0,0,0,0,0,mobile,iOS,Vietnam,Hanoi,<Other>,<Other>,0.0,1,1,session_only
72105784.0233596452,9816869587,2021-01-06,1,0,0,0,0,0,mobile,Web,United States,Georgia,google,organic,0.0,1,1,session_only
88936727.5999914670,1788941493,2020-12-08,1,1,1,1,1,0,mobile,iOS,Spain,Madrid,google,organic,0.0,39,5,add_payment
7641997.9578096774,8654657426,2021-01-26,1,0,0,0,0,0,mobile,Web,United States,Illinois,google,cpc,0.0,1,1,session_only
34573129.9247668049,568143431,2020-12-16,1,0,0,0,0,0,desktop,Web,China,Fujian,<Other>,<Other>,0.0,1,1,session_only
1608051.0070501000,3107811179,2020-12-10,1,0,0,0,0,0,desktop,Web,Canada,British Columbia,google,organic,0.0,1,1,session_only
4991327772.3241284021,4372645438,2021-01-30,1,0,0,0,0,0,mobile,iOS,South Korea,Gyeonggi-do,<Other>,referral,0.0,1,1,session_only
30760022.9820198935,7625789758,2020-12-24,1,0,0,0,0,0,desktop,Web,South Korea,(not set),google,cpc,0.0,1,1,session_only
95208228.2126605036,3225866163,2020-12-02,1,0,0,0,0,0,mobile,Android,United States,Florida,shop.googlemerchandisestore.com,referral,0.0,1,1,session_only
14832805.0298601394,594915524,2020-12-30,1,0,0,0,0,0,mobile,Web,United States,California,<Other>,<Other>,0.0,1,1,session_only
13309292.1735139529,9568533433,2020-12-13,1,1,1,1,1,1,mobile,Web,South Africa,Western Cape,(direct),(none),0.0,31,6,purchase
54018196.9942243720,1315130577,2020-11-09,1,0,0,0,0,0,mobile,Android,United States,Kentucky,<Other>,referral,0.0,1,1,session_only
71076182.3768563317,4060582826,2021-01-24,1,0,0,0,0,0,desktop,Macintosh,Malaysia,(not set),(data deleted),(data deleted),0.0,1,1,session_only
8236993.5929886972,9779181262,2020-11-27,1,0,0,0,0,0,desktop,Macintosh,Canada,Ontario,google,organic,0.0,1,1,session_only
7132358.6228292016,4981603824,2020-12-02,1,1,0,0,0,0,desktop,Web,Thailand,Bangkok,(data deleted),(data deleted),0.0,3,2,view_item
28894503.7965195139,9677516688,2020-12-13,1,0,0,0,0,0,mobile,Web,United States,Massachusetts,google,organic,0.0,1,1,session_only
143821237.8450072237,5234959194,2021-01-25,1,0,0,0,0,0,desktop,<Other>,United States,Texas,(direct),(none),0.0,1,1,session_only
48459476.8885028586,9418815778,2021-01-07,1,1,0,0,0,0,desktop,Windows,Greece,Attica,google,organic,0.0,3,2,view_item
35962780.3188274031,4106282759,2020-11-21,1,0,0,0,0,0,mobile,iOS,United States,California,google,organic,0.0,1,1,session_only
5572774684.5698209837,7567874754,2021-01-16,1,1,0,0,0,0,mobile,Web,United States,California,(direct),(none),0.0,3,2,view_item
8059512.6302246541,1935416217,2020-12-25,1,1,0,0,0,0,desktop,Web,Poland,Silesian Voivodeship,google,organic,0.0,3,2,view_item
