event_date,total_sessions,conversions,conversion_rate,total_revenue,cvr_rolling_7d_mean,cvr_deviation,anomaly_score,is_anomaly,anomaly_severity
2020-11-11,3778,63,0.0166754896770778,3727.71,0.012999726726597558,1.0519497777339273,0.4615955985742029,0,normal
2020-11-12,3670,51,0.0138964577656675,2325.9,0.0134359282793818,0.136718108333045,0.4353616045433603,0,normal
2020-11-14,2340,29,0.0123931623931623,1714.98,0.014229450614198185,-0.9761463063470249,0.4927959723207326,0,normal
2020-11-15,2199,21,0.0095497953615279,1179.24,0.0138206574490264,-1.6825947511813297,0.49875747718467633,0,normal
2020-11-16,3508,69,0.0196693272519954,3938.69,0.014566921347494129,1.5092745327315478,0.5313877098046642,0,watch
2020-11-17,4027,85,0.0211075242115718,4715.48,0.015732143188740215,1.3217334311191535,0.5064562167551587,0,watch
2020-11-19,4165,44,0.0105642256902761,3541.14,0.014836568907325542,-0.9588491062166058,0.4664920303089125,0,normal
2020-11-20,4104,64,0.0155945419103313,5026.72,0.014682147797790328,0.20737524272560462,0.4998139701866296,0,normal
2020-11-21,3162,35,0.0110689437065148,3170.88,0.01427821721791137,-0.6963493791794898,0.5101906441376659,0,watch
2020-11-23,3923,62,0.0158042314555187,5841.28,0.014765512798248,0.22797854724486857,0.48751848842816325,0,normal
2020-11-24,4317,97,0.0224693073893907,5789.25,0.01661115737365697,1.24493941082194,0.5286205346471741,0,watch
2020-11-26,4109,55,0.0133852518861036,2988.6,0.015713432321386715,-0.5035408737524913,0.46852919476233784,0,normal
2020-11-29,3214,49,0.0152457996266334,2562.12,0.014876043094966943,0.09317932199063823,0.5847690900057586,1,warning
2020-12-01,4934,100,0.0202675314146736,3907.21,0.01626222962702373,1.0256154521507683,0.5540088258001059,0,warning
2020-12-04,4687,86,0.018348623853211,5022.78,0.016655669904577973,0.4269677958012003,0.4925333070106445,0,normal
2020-12-14,5069,86,0.0169658709804695,6519.78,0.017498088086571502,-0.1708152852009394,0.5052637030966978,0,watch
2020-12-17,5306,91,0.0171503957783641,4334.53,0.017690397275549417,-0.1779685856812672,0.46449718453113614,0,normal
2020-12-19,3573,40,0.0111950741673663,1966.85,0.016079792529545927,-1.5927533662522055,0.5119004135824625,0,watch
2020-12-20,3265,19,0.0058192955589586,1061.67,0.014998941625668073,-1.8591727710057069,0.5218389742346893,0,watch
2020-12-21,3971,48,0.0120876353563334,2466.5,0.014547775301339503,-0.4867625386594588,0.5025511482021838,0,watch
2020-12-23,3422,53,0.0154880187025131,2813.21,0.013864987771030858,0.3657236059384554,0.48963373564960677,0,normal
2020-12-24,2777,22,0.0079222182211019,624.88,0.012375501252158128,-1.0048213010361131,0.5020725191739817,0,watch
2020-12-25,2629,17,0.00646633701027,338.81,0.010875567827843916,-1.0030076988197716,0.5038866743082909,0,watch
2020-12-26,2654,16,0.0060286360211002,402.18,0.009286745005377644,-0.8791899909239751,0.48192392700265924,0,normal
2020-12-27,2659,20,0.0075216246709289,716.4000000000001,0.008761966505886587,-0.3398000480237574,0.48429064262539423,0,normal
